image_index,edsr_mse,edsr_psnr,edsr_ssim,bicubic_mse,bicubic_psnr,bicubic_ssim,psnr_improvement,ssim_improvement,mse_reduction
22,0.0014063486596569419,28.519069963905178,0.7672793193404788,0.0015122848562896252,28.203663967562782,0.7359217329159438,0.3154059963423954,0.03135758642453501,0.00010593619663268328
23,0.0004228715260978788,33.7379155693135,0.8588257563173785,0.00048638464068062603,33.13020147906725,0.8322954877585427,0.6077140902462475,0.02653026855883578,6.351311458274722e-05
24,0.0008144929306581616,30.89112680771647,0.8494350164883895,0.0008667490910738707,30.62106605099093,0.8309995125992471,0.27006075672554175,0.01843550388914239,5.225616041570902e-05
25,0.00023799098562449217,36.2343949238753,0.897033600085579,0.00028978486079722643,35.379243070772915,0.8785014556732367,0.8551518531023845,0.0185321444123423,5.179387517273426e-05
26,0.0003980598412454128,34.00051634536606,0.8779233712655298,0.00045844988198950887,33.38708134726984,0.8513584675028187,0.613434998096217,0.026564903762711034,6.039004074409604e-05
27,0.00019423062622081488,37.11682289618469,0.9053578562994489,0.00021711993031203747,36.63300309077772,0.8919352893676289,0.48381980540697356,0.01342256693181998,2.2889304091222584e-05
28,0.00016195290663745254,37.90611253116734,0.9048297708467133,0.0001725306356092915,37.631337777226086,0.8946497641004235,0.2747747539412515,0.010180006746289827,1.0577728971838951e-05
29,0.00020852970192208886,36.80832077562358,0.90915331935915,0.00022119014465715736,36.552342273509055,0.9000983193513727,0.2559785021145231,0.009055000007777259,1.26604427350685e-05
30,0.0005460764514282346,32.62746551234613,0.8642468287311951,0.0005941146519035101,32.26129737031866,0.8415419940661495,0.36616814202746895,0.02270483466504558,4.8038200475275517e-05
31,0.0003331039915792644,34.77420163134515,0.8797531111440697,0.0003850262437481433,34.14509667565365,0.8574250306694092,0.6291049556915027,0.022328080474660505,5.192225216887891e-05
32,0.0004607823211699724,33.36504191836609,0.8498903274973175,0.0005332831642590463,32.730421267705424,0.8179940692996579,0.6346206506606649,0.03189625819765962,7.25008430890739e-05
33,0.0002736691094469279,35.627742210548384,0.8921221606260692,0.00031457754084840417,35.02272286905948,0.8705392676074977,0.6050193414889051,0.021582893018571525,4.0908431401476264e-05
34,0.0003914043481927365,34.07374353983019,0.8427474188982031,0.00043391023064032197,33.62600110049958,0.8192052565880712,0.44774243933061086,0.023542162310131953,4.2505882447585464e-05
35,0.0003147668030578643,35.02011076849878,0.8959586211518276,0.00034594122553244233,34.60997680383999,0.87960563572638,0.41013396465879026,0.016352985425447608,3.117442247457802e-05
36,0.0003421032743062824,34.65842769117056,0.8728289416689827,0.0003979508765041828,34.00170534408375,0.851586575731505,0.6567223470868058,0.021242365937477747,5.5847602197900414e-05
37,0.00040719087701290846,33.90201960797369,0.8785247330077941,0.00046142429346218705,33.35899544104407,0.8572980434758565,0.5430241669296194,0.021226689531937626,5.423341644927859e-05
38,0.0004919494385831058,33.08079530713818,0.8644556157363268,0.0006010251236148179,32.21107373555946,0.8286800813232489,0.8697215715787223,0.0357755344130779,0.00010907568503171206
39,0.00034684347338043153,34.5986647328938,0.8910874659604138,0.00040197864291258156,33.9579702032749,0.8693978150479182,0.640694529618905,0.02168965091249553,5.513516953215003e-05
40,0.0005131679936312139,32.897404384678396,0.8214342663266331,0.0005611743545159698,32.50902184305635,0.7968869480817261,0.3883825416220432,0.024547318244906968,4.800636088475585e-05
41,0.0007204422727227211,31.424008124105406,0.8522209118937986,0.0007850007386878133,31.05129934582276,0.8294916200598269,0.3727087782826466,0.022729291833971654,6.455846596509218e-05
42,0.0005737444153055549,32.41281528755397,0.8643626574444816,0.0006248316494747996,32.042369803405215,0.8446326503580891,0.3704454841487532,0.019730007086392498,5.1087234169244766e-05
43,0.0002278242027387023,36.42400140847238,0.8906055220493632,0.00025695859221741557,35.90136855736262,0.8745585204753098,0.5226328511097549,0.016047001574053366,2.9134389478713274e-05
44,0.0004084908287040889,33.88817689652787,0.8515554145403779,0.00045179040171206,33.45062999904738,0.8276732927943835,0.4375468974804875,0.023882121745994356,4.329957300797105e-05
45,0.0007221134728752077,31.41394552054507,0.8072115193326748,0.0007936631445772946,31.003637866067272,0.7741138725777116,0.4103076544777977,0.033097646754963184,7.154967170208693e-05
46,0.0006485849735327065,31.880331173149482,0.8905075834816581,0.0007606871076859534,31.1879394421336,0.8638951298208664,0.6923917310158814,0.02661245366079179,0.00011210213415324688
47,0.00036207959055900574,34.4119595449094,0.8790120278982136,0.0003904281766153872,34.08458847493539,0.8610893566618851,0.32737106997401355,0.017922671236328513,2.8348586056381464e-05
